dataset_id,cohort,model_name,model_label,prompt_threshold,n_decisions,ambiguity_abstain_region,review_band,alert_region,ambiguity_review_overlap,ambiguity_alert_overlap,ambiguity_action_overlap_width,ambiguity_gate_can_reach_review,ambiguity_gate_can_reach_alert,ambiguity_gate_can_block_any_action,n_alert_gate_on,n_alert_gate_off,n_review_gate_on,n_review_gate_off,n_action_routes_gate_on,n_action_routes_gate_off,n_decisions_with_changed_route,n_decisions_with_changed_action_status,n_abstain_gate_on,n_abstain_gate_off
many_labs_igt,development,hist_gradient_boosting,HGB,0.58999999999999997,13385,"[0.45, 0.55]","[0.56, 0.62]","(0.62, 1]",empty,empty,0,False,False,False,972,972,246,246,1218,1218,2086,0,3185,1099
many_labs_igt,development,hist_gradient_boosting,HGB,0.59999999999999998,26820,"[0.45, 0.55]","[0.57, 0.63]","(0.63, 1]",empty,empty,0,False,False,False,1926,1926,493,493,2419,2419,4456,0,6539,2083
many_labs_igt,development,hist_gradient_boosting,HGB,0.60999999999999999,26320,"[0.45, 0.55]","[0.58, 0.64]","(0.64, 1]",empty,empty,0,False,False,False,1876,1876,483,483,2359,2359,3940,0,5754,1814
many_labs_igt,development,history_baseline,history,0.39000000000000001,13385,"[0.45, 0.55]","[0.36, 0.42]","(0.42, 1]",empty,"[0.45, 0.55]",0.10000000000000001,False,True,True,941,966,168,168,1109,1134,4309,657,5223,1230
many_labs_igt,development,history_baseline,history,0.42999999999999999,53140,"[0.45, 0.55]","[0.40, 0.46]","(0.46, 1]","[0.45, 0.46]","(0.46, 0.55]",0.089999999999999997,True,True,True,3333,3778,703,732,4036,4510,16836,3230,20136,4868
many_labs_igt,development,regularised_logistic,logistic,0.58999999999999997,39705,"[0.45, 0.55]","[0.56, 0.62]","(0.62, 1]",empty,empty,0,False,False,False,2845,2845,731,731,3576,3576,4173,0,6917,2744
many_labs_igt,development,regularised_logistic,logistic,0.59999999999999998,13485,"[0.45, 0.55]","[0.57, 0.63]","(0.63, 1]",empty,empty,0,False,False,False,953,953,246,246,1199,1199,1347,0,2267,920
many_labs_igt,development,regularised_logistic,logistic,0.60999999999999999,13335,"[0.45, 0.55]","[0.58, 0.64]","(0.64, 1]",empty,empty,0,False,False,False,936,936,246,246,1182,1182,1514,0,2603,1089
mendeley_igt_official_v2,external,hist_gradient_boosting,HGB,0.59999999999999998,11800,"[0.45, 0.55]","[0.57, 0.63]","(0.63, 1]",empty,empty,0,False,False,False,466,466,118,118,584,584,2282,0,3379,1097
mendeley_igt_official_v2,external,history_baseline,history,0.42999999999999999,11800,"[0.45, 0.55]","[0.40, 0.46]","(0.46, 1]","[0.45, 0.46]","(0.46, 0.55]",0.089999999999999997,True,True,True,396,458,80,82,476,540,3964,416,5512,1743
mendeley_igt_official_v2,external,regularised_logistic,logistic,0.57999999999999996,11800,"[0.45, 0.55]","[0.55, 0.61]","(0.61, 1]","[0.55, 0.55]",empty,0,True,False,True,462,462,118,118,580,580,1501,0,2498,997
