dataset_id,cohort,model_name,region,n_participants,n_eligible,n_zero_subset,n_single_class_nonempty,n_subset,n_positive,n_negative,n_pairs,within_auroc_pair_weighted,within_auroc_macro,share_eligible_below_half,within_auroc_pair_weighted_ci_low,within_auroc_pair_weighted_ci_high,within_auroc_pair_weighted_finite_replicates,within_auroc_macro_ci_low,within_auroc_macro_ci_high,within_auroc_macro_finite_replicates,share_eligible_below_half_ci_low,share_eligible_below_half_ci_high,share_eligible_below_half_finite_replicates
many_labs_igt,development,hist_gradient_boosting,full_episode,617,615,0,2,66525,30358,36167,1607582,0.72790750331864873,0.73264913776007068,0.04878048780487805,0.71585772109247814,0.73963667277250444,2000,0.72128060824498197,0.74394145641023157,2000,0.032573289902280131,0.066666666666666666,2000
many_labs_igt,development,hist_gradient_boosting,alert_candidates,617,601,3,13,17079,13485,3594,95006,0.57573205902785085,0.54897715155405158,0.3577371048252912,0.56092274915404738,0.58995501485282253,2000,0.53294858014283353,0.56424479478453371,2000,0.32006633499170811,0.39700996677740863,2000
many_labs_igt,development,history_baseline,full_episode,617,615,0,2,66525,30358,36167,1607582,0.52132084086534936,0.53105873931889169,0.50569105691056915,0.50979448672052508,0.53314597054310542,2000,0.51955742384263393,0.54303507444781918,2000,0.46590909090909088,0.54398115021092541,2000
many_labs_igt,development,history_baseline,alert_candidates,617,543,41,33,27693,16062,11631,474528,0.50252356025355727,0.49439401893567603,0.50828729281767959,0.48946876025528213,0.51590304557242628,2000,0.48265619803763649,0.50670492632276465,2000,0.46570397111913359,0.54919686810388735,2000
many_labs_igt,development,regularised_logistic,full_episode,617,615,0,2,66525,30358,36167,1607582,0.65127191023537212,0.65910968492763744,0.21463414634146341,0.6353522916047869,0.6667818274787346,2000,0.6445158668379678,0.67363728133678336,2000,0.1821138211382114,0.24837662337662339,2000
many_labs_igt,development,regularised_logistic,alert_candidates,617,596,5,16,19347,13474,5873,147189,0.52904089300151502,0.48810149411079673,0.50167785234899331,0.5135680969317622,0.54307584865315384,2000,0.47239972732791791,0.50309620530208954,2000,0.46127619096369099,0.54286439448875989,2000
mendeley_igt_official_v2,external,hist_gradient_boosting,full_episode,59,59,0,0,11800,5793,6007,551643,0.7007140487597957,0.70339355806821979,0.033898305084745763,0.67497999569973488,0.72861896769293866,2000,0.67787567539830629,0.73091678796688253,2000,0,0.084745762711864403,2000
mendeley_igt_official_v2,external,hist_gradient_boosting,alert_candidates,59,59,0,0,2790,2154,636,29635,0.57698667116585123,0.54653977293948552,0.2711864406779661,0.53587321851944469,0.61690557842604099,2000,0.50706062761656034,0.5808595642064811,2000,0.16949152542372881,0.38983050847457629,2000
mendeley_igt_official_v2,external,history_baseline,full_episode,59,59,0,0,11800,5793,6007,551643,0.47815706897395599,0.48266911412810631,0.69491525423728817,0.45736168193679122,0.50142152912625082,2000,0.46125853124760213,0.50740235626737651,2000,0.57627118644067798,0.81355932203389836,2000
mendeley_igt_official_v2,external,history_baseline,alert_candidates,59,50,5,4,4571,2625,1946,158266,0.46950703246433217,0.44755766015581899,0.80000000000000004,0.45335889900175541,0.48707947549820302,2000,0.41303251081361064,0.48022963803238139,2000,0.68085106382978722,0.90004901960784289,2000
mendeley_igt_official_v2,external,regularised_logistic,full_episode,59,59,0,0,11800,5793,6007,551643,0.60594079866870421,0.61158927047504097,0.2711864406779661,0.57044562377201558,0.64556907498831795,2000,0.57647523122054467,0.65135524699287617,2000,0.15254237288135594,0.3728813559322034,2000
mendeley_igt_official_v2,external,regularised_logistic,alert_candidates,59,58,1,0,3361,2214,1147,49907,0.52209108942633298,0.50262834110966192,0.51724137931034486,0.48622587048193089,0.55661869105954465,2000,0.47287148111621036,0.53276880867129206,2000,0.38973386856972941,0.64406779661016944,2000
