panel,record_type,series,metric,numerator,denominator,ratio,minimum,median,maximum,workers,n_requests,repetitions,units,source_file,selector,source_sha256
a,fault_detection,Ordinary log,Claim/evidence faults,0.000000,24.000000,0.000000,,,,,24,1,detected/injected faults,icair_2026/framework_v1/evidence_v2/component_ablation/record_component_summary.csv,validator=ordinary_log;expected_component=trusted_permit_claim_binding,3246e8448c4c1945914679980a07ee1dc1f683317280859ff02acebccff4844f
a,fault_detection,Ordinary log,Receipt/state faults,0.000000,60.000000,0.000000,,,,,60,1,detected/injected faults,icair_2026/framework_v1/evidence_v2/component_ablation/record_component_summary.csv,validator=ordinary_log;expected_component=stateful_receipt_verification,3246e8448c4c1945914679980a07ee1dc1f683317280859ff02acebccff4844f
a,fault_detection,Claim/evidence binding off,Claim/evidence faults,0.000000,24.000000,0.000000,,,,,24,1,detected/injected faults,icair_2026/framework_v1/evidence_v2/component_ablation/record_component_summary.csv,validator=claim_binding_off;expected_component=trusted_permit_claim_binding,3246e8448c4c1945914679980a07ee1dc1f683317280859ff02acebccff4844f
a,fault_detection,Claim/evidence binding off,Receipt/state faults,60.000000,60.000000,1.000000,,,,,60,1,detected/injected faults,icair_2026/framework_v1/evidence_v2/component_ablation/record_component_summary.csv,validator=claim_binding_off;expected_component=stateful_receipt_verification,3246e8448c4c1945914679980a07ee1dc1f683317280859ff02acebccff4844f
a,fault_detection,Receipt/state off,Claim/evidence faults,24.000000,24.000000,1.000000,,,,,24,1,detected/injected faults,icair_2026/framework_v1/evidence_v2/component_ablation/record_component_summary.csv,validator=receipt_state_verification_off;expected_component=trusted_permit_claim_binding,3246e8448c4c1945914679980a07ee1dc1f683317280859ff02acebccff4844f
a,fault_detection,Receipt/state off,Receipt/state faults,0.000000,60.000000,0.000000,,,,,60,1,detected/injected faults,icair_2026/framework_v1/evidence_v2/component_ablation/record_component_summary.csv,validator=receipt_state_verification_off;expected_component=stateful_receipt_verification,3246e8448c4c1945914679980a07ee1dc1f683317280859ff02acebccff4844f
a,fault_detection,Full ECRC,Claim/evidence faults,24.000000,24.000000,1.000000,,,,,24,1,detected/injected faults,icair_2026/framework_v1/evidence_v2/component_ablation/record_component_summary.csv,validator=full_binding_and_receipt;expected_component=trusted_permit_claim_binding,3246e8448c4c1945914679980a07ee1dc1f683317280859ff02acebccff4844f
a,fault_detection,Full ECRC,Receipt/state faults,60.000000,60.000000,1.000000,,,,,60,1,detected/injected faults,icair_2026/framework_v1/evidence_v2/component_ablation/record_component_summary.csv,validator=full_binding_and_receipt;expected_component=stateful_receipt_verification,3246e8448c4c1945914679980a07ee1dc1f683317280859ff02acebccff4844f
a,clean_control,Ordinary log,Clean records passed,32.000000,32.000000,1.000000,,,,,32,1,passed/clean records,icair_2026/framework_v1/evidence_v2/component_ablation/record_clean_validator_summary.csv,validator=ordinary_log,906b4252c8648d8cc07682fc48386d544dd4485b550816debd254d85d5e957ff
a,clean_control,Claim/evidence binding off,Clean records passed,32.000000,32.000000,1.000000,,,,,32,1,passed/clean records,icair_2026/framework_v1/evidence_v2/component_ablation/record_clean_validator_summary.csv,validator=claim_binding_off,906b4252c8648d8cc07682fc48386d544dd4485b550816debd254d85d5e957ff
a,clean_control,Receipt/state off,Clean records passed,32.000000,32.000000,1.000000,,,,,32,1,passed/clean records,icair_2026/framework_v1/evidence_v2/component_ablation/record_clean_validator_summary.csv,validator=receipt_state_verification_off,906b4252c8648d8cc07682fc48386d544dd4485b550816debd254d85d5e957ff
a,clean_control,Full ECRC,Clean records passed,32.000000,32.000000,1.000000,,,,,32,1,passed/clean records,icair_2026/framework_v1/evidence_v2/component_ablation/record_clean_validator_summary.csv,validator=full_binding_and_receipt,906b4252c8648d8cc07682fc48386d544dd4485b550816debd254d85d5e957ff
a,bridge_agreement,Frozen router-runtime bridge,Route agreement,11800.000000,11800.000000,1.000000,,,,,11800,1,matches/comparisons,icair_2026/framework_v1/evidence_bridge/bridge_summary.json,array_route_match_count+array_route_mismatch_count,c6b81a70a7ca7b4b0115349df5ab9a86b6a169702a0018a4a1917edf98d21543
a,bridge_agreement,Frozen router-runtime bridge,Reason agreement,11800.000000,11800.000000,1.000000,,,,,11800,1,matches/comparisons,icair_2026/framework_v1/evidence_bridge/bridge_summary.json,array_reason_match_count+array_reason_mismatch_count,c6b81a70a7ca7b4b0115349df5ab9a86b6a169702a0018a4a1917edf98d21543
b,capacity_integrity,Non-atomic witness,Accepted capacity-bearing routes / capacity,2.000000,1.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2,1,accepted/capacity,icair_2026/framework_v1/evidence_systems/systems_unsafe_race_witness.json,barrier_forced_interleaving=true,f53998e441cd3c8cb1e16e4ba1a1c22b888c8b47b0dc4f895dd4c9155c908b85
