panel,model,threshold,review_low,review_high,gate_low,gate_high,action_union_overlap_width,legacy_max_component_width,arm,precision,coverage,cohort,quintile,denial_rate,candidacy_share,n_candidates,n_denied
a,HGB,0.6,0.57,0.63,.45,.55,0,0,,,,,,,,,
a,logistic,0.58,0.55,0.61,.45,.55,0,0,,,,,,,,,
a,history,0.43,0.40,0.46,.45,.55,0.10,0.0899999999999999,,,,,,,,,
b,,,,,,,,,separate_capacity_8_2,0.66952789699570814,0.053858104609010797,,,,,,
b,,,,,,,,,shared_capacity_10,0.65551839464882944,0.033833937510788802,,,,,,
b,,,,,,,,,separate_capacity_score_priority,0.74248927038626611,0.059727257034351798,,,,,,
b,,,,,,,,,capacity_off,0.77204301075268822,0.37182806835836352,,,,,,
c/d,,,,,,,,,,,,development,1,0.46510228640192541,0.0973124890216054,1662,773
c/d,,,,,,,,,,,,development,2,0.62514551804423735,0.15088705427718241,2577,1611
c/d,,,,,,,,,,,,development,3,0.62797847809377405,0.1523508402131272,2602,1634
c/d,,,,,,,,,,,,development,4,0.70527278268820481,0.192107266233386,3281,2314
c/d,,,,,,,,,,,,development,5,0.85855972401897374,0.40734235025469873,6957,5973
c/d,,,,,,,,,,,,external,1,0.6654411764705882,0.097491039426523304,272,181
c/d,,,,,,,,,,,,external,2,0.70769230769230773,0.11648745519713261,325,230
c/d,,,,,,,,,,,,external,3,0.77880184331797231,0.1555555555555555,434,338
c/d,,,,,,,,,,,,external,4,0.86740331491712697,0.25949820788530459,724,628
c/d,,,,,,,,,,,,external,5,0.91497584541062804,0.37096774193548382,1035,947
