panel,dataset_id,model_name,capacity_basis,estimate,ci_low,ci_high,n_eligible,n_participants,source,quantity
a,many_labs_igt,hist_gradient_boosting,candidate_set_before_capacity,0.5757320590278509,0.5609227491540474,0.5899550148528225,601,617,frozen_candidate_summary.csv,within_auroc_pair_weighted
b,many_labs_igt,hist_gradient_boosting,eight_per_episode,-0.027723017772852798,-0.04391603152100978,-0.011077267157065515,,617,online_intervals.csv,delta_paced_minus_fifo__alert_precision
b,many_labs_igt,hist_gradient_boosting,eight_per_100_planned,-0.026591645773244355,-0.042150586146816084,-0.010248354805028875,,617,online_intervals.csv,delta_paced_minus_fifo__alert_precision
c,many_labs_igt,hist_gradient_boosting,eight_per_episode,-0.027340404506225713,-0.031207134056616074,-0.023585766103266136,,617,online_intervals.csv,delta_paced_minus_fifo__alert_coverage
c,many_labs_igt,hist_gradient_boosting,eight_per_100_planned,-0.029217998550629162,-0.03336161312324318,-0.02530555507747334,,617,online_intervals.csv,delta_paced_minus_fifo__alert_coverage
a,many_labs_igt,regularised_logistic,candidate_set_before_capacity,0.529040893001515,0.5135680969317622,0.5430758486531538,596,617,frozen_candidate_summary.csv,within_auroc_pair_weighted
b,many_labs_igt,regularised_logistic,eight_per_episode,-0.03072987907155733,-0.04946732505152801,-0.011851954242627251,,617,online_intervals.csv,delta_paced_minus_fifo__alert_precision
b,many_labs_igt,regularised_logistic,eight_per_100_planned,-0.03537361749254209,-0.05378240451769524,-0.016819551138690977,,617,online_intervals.csv,delta_paced_minus_fifo__alert_precision
c,many_labs_igt,regularised_logistic,eight_per_episode,-0.028526253376375266,-0.0328321174048465,-0.02470878720721826,,617,online_intervals.csv,delta_paced_minus_fifo__alert_coverage
c,many_labs_igt,regularised_logistic,eight_per_100_planned,-0.03178733776928651,-0.036274040507003544,-0.027659987458629753,,617,online_intervals.csv,delta_paced_minus_fifo__alert_coverage
a,many_labs_igt,history_baseline,candidate_set_before_capacity,0.5025235602535573,0.48946876025528213,0.5159030455724263,543,617,frozen_candidate_summary.csv,within_auroc_pair_weighted
b,many_labs_igt,history_baseline,eight_per_episode,-0.042626268435121184,-0.0641127382917565,-0.01991616079178133,,617,online_intervals.csv,delta_paced_minus_fifo__alert_precision
b,many_labs_igt,history_baseline,eight_per_100_planned,-0.04302149174422021,-0.06450558705741355,-0.020826165578051867,,617,online_intervals.csv,delta_paced_minus_fifo__alert_precision
c,many_labs_igt,history_baseline,eight_per_episode,-0.03007444495684828,-0.03424597598267437,-0.026015737730524978,,617,online_intervals.csv,delta_paced_minus_fifo__alert_coverage
c,many_labs_igt,history_baseline,eight_per_100_planned,-0.031952039001251736,-0.036447423684675864,-0.027691876147134926,,617,online_intervals.csv,delta_paced_minus_fifo__alert_coverage
a,mendeley_igt_official_v2,hist_gradient_boosting,candidate_set_before_capacity,0.5769866711658512,0.5358732185194447,0.616905578426041,59,59,frozen_candidate_summary.csv,within_auroc_pair_weighted
b,mendeley_igt_official_v2,hist_gradient_boosting,eight_per_episode,0.04229476310281399,-0.010060664084466686,0.09895909538763914,,59,online_intervals.csv,delta_paced_minus_fifo__alert_precision
b,mendeley_igt_official_v2,hist_gradient_boosting,eight_per_100_planned,0.036617040523757693,-0.0038062377514943542,0.07779754261311062,,59,online_intervals.csv,delta_paced_minus_fifo__alert_precision
c,mendeley_igt_official_v2,hist_gradient_boosting,eight_per_episode,-0.003970308993612982,-0.009294460956798041,0.0015302934658814984,,59,online_intervals.csv,delta_paced_minus_fifo__alert_coverage
c,mendeley_igt_official_v2,hist_gradient_boosting,eight_per_100_planned,-0.008458484377697223,-0.016548081492563583,-0.00035021516131463853,,59,online_intervals.csv,delta_paced_minus_fifo__alert_coverage
a,mendeley_igt_official_v2,regularised_logistic,candidate_set_before_capacity,0.522091089426333,0.4862258704819309,0.5566186910595446,58,59,frozen_candidate_summary.csv,within_auroc_pair_weighted
b,mendeley_igt_official_v2,regularised_logistic,eight_per_episode,0.10100432900432899,0.04112250072964497,0.15814623433405398,,59,online_intervals.csv,delta_paced_minus_fifo__alert_precision
b,mendeley_igt_official_v2,regularised_logistic,eight_per_100_planned,0.05935364934636245,0.01207292949116101,0.10471659153720175,,59,online_intervals.csv,delta_paced_minus_fifo__alert_precision
c,mendeley_igt_official_v2,regularised_logistic,eight_per_episode,-0.0010357327809425165,-0.006762396618560745,0.004144830503167115,,59,online_intervals.csv,delta_paced_minus_fifo__alert_coverage
c,mendeley_igt_official_v2,regularised_logistic,eight_per_100_planned,-0.010184705679268075,-0.01997617771483418,-0.0010408939994426094,,59,online_intervals.csv,delta_paced_minus_fifo__alert_coverage
a,mendeley_igt_official_v2,history_baseline,candidate_set_before_capacity,0.4695070324643322,0.4533588990017554,0.487079475498203,50,59,frozen_candidate_summary.csv,within_auroc_pair_weighted
b,mendeley_igt_official_v2,history_baseline,eight_per_episode,0.12671322894371218,0.05555093086940693,0.1947914267412316,,59,online_intervals.csv,delta_paced_minus_fifo__alert_precision
b,mendeley_igt_official_v2,history_baseline,eight_per_100_planned,0.08618881118881117,0.02969736202288834,0.14063246340026928,,59,online_intervals.csv,delta_paced_minus_fifo__alert_precision
c,mendeley_igt_official_v2,history_baseline,eight_per_episode,-0.003970308993612979,-0.010251177254706154,0.0015168935283181055,,59,online_intervals.csv,delta_paced_minus_fifo__alert_coverage
c,mendeley_igt_official_v2,history_baseline,eight_per_100_planned,-0.0074227515967546995,-0.01724180197604669,0.0013208441545435727,,59,online_intervals.csv,delta_paced_minus_fifo__alert_coverage
