arm,scenario,rep,intermediate_effects,intermediate_receipts,intermediate_reserved,intermediate_committed,final_effects,final_receipts,final_reserved,final_committed,duplicate_effects,omitted_effects,receipt_mismatches,oversubscription,crashes,recovery_ms_including_worker_start
ordinary,normal,1,1,1,0,1,1,1,0,1,0,0,0,0,0,94.17410000605742
ecrc,normal,1,1,1,0,1,1,1,0,1,0,0,0,0,0,94.88879999844357
ordinary,crash_after_intent,1,0,0,1,0,1,1,0,1,0,0,0,0,1,120.69719999999506
ecrc,crash_after_intent,1,0,0,1,0,1,1,0,1,0,0,0,0,1,117.63430000428343
ordinary,crash_after_ack,1,1,0,1,0,1,1,0,1,0,0,0,0,1,120.7743000049959
ecrc,crash_after_ack,1,1,0,1,0,1,1,0,1,0,0,0,0,1,118.26350000046659
ordinary,drop_after_commit,1,1,0,1,0,1,1,0,1,0,0,0,0,0,115.05019999458455
ecrc,drop_after_commit,1,1,0,1,0,1,1,0,1,0,0,0,0,0,121.07260000630049
ordinary,crash_before_local_commit,1,1,0,1,0,1,1,0,1,0,0,0,0,1,129.79270000505494
ecrc,crash_before_local_commit,1,1,0,1,0,1,1,0,1,0,0,0,0,1,132.9039999982342
ordinary,crash_after_local_commit,1,1,1,0,1,1,1,0,1,0,0,0,0,1,100.65600000234554
ecrc,crash_after_local_commit,1,1,1,0,1,1,1,0,1,0,0,0,0,1,102.17160000320291
ordinary,concurrent_retries,1,1,1,0,1,1,1,0,1,0,0,0,0,0,99.5997999998508
ecrc,concurrent_retries,1,1,1,0,1,1,1,0,1,0,0,0,0,0,100.04180000396445
ordinary,sink_restart_after_lost_ack,1,1,0,1,0,1,1,0,1,0,0,0,0,1,112.79810000269208
ecrc,sink_restart_after_lost_ack,1,1,0,1,0,1,1,0,1,0,0,0,0,1,126.00889999885112
ordinary,temporary_outage,1,0,0,1,0,1,1,0,1,0,0,0,0,1,113.10760000196751
ecrc,temporary_outage,1,0,0,1,0,1,1,0,1,0,0,0,0,1,123.04820000281325
ecrc,normal,2,1,1,0,1,1,1,0,1,0,0,0,0,0,97.48400000535185
ordinary,normal,2,1,1,0,1,1,1,0,1,0,0,0,0,0,102.33200000220677
ecrc,crash_after_intent,2,0,0,1,0,1,1,0,1,0,0,0,0,1,131.12729999556905
ordinary,crash_after_intent,2,0,0,1,0,1,1,0,1,0,0,0,0,1,119.70920000021579
ecrc,crash_after_ack,2,1,0,1,0,1,1,0,1,0,0,0,0,1,118.8140000012936
ordinary,crash_after_ack,2,1,0,1,0,1,1,0,1,0,0,0,0,1,117.78719999711029
ecrc,drop_after_commit,2,1,0,1,0,1,1,0,1,0,0,0,0,0,131.72320000012405
ordinary,drop_after_commit,2,1,0,1,0,1,1,0,1,0,0,0,0,0,116.83179999818094
ecrc,crash_before_local_commit,2,1,0,1,0,1,1,0,1,0,0,0,0,1,121.19249999523163
ordinary,crash_before_local_commit,2,1,0,1,0,1,1,0,1,0,0,0,0,1,123.2222000035108
ecrc,crash_after_local_commit,2,1,1,0,1,1,1,0,1,0,0,0,0,1,97.77840000606375
ordinary,crash_after_local_commit,2,1,1,0,1,1,1,0,1,0,0,0,0,1,101.25919999700272
ecrc,concurrent_retries,2,1,1,0,1,1,1,0,1,0,0,0,0,0,97.28850000101374
ordinary,concurrent_retries,2,1,1,0,1,1,1,0,1,0,0,0,0,0,95.9075999999186
ecrc,sink_restart_after_lost_ack,2,1,0,1,0,1,1,0,1,0,0,0,0,1,117.69300000014482
ordinary,sink_restart_after_lost_ack,2,1,0,1,0,1,1,0,1,0,0,0,0,1,115.6630999976187
ecrc,temporary_outage,2,0,0,1,0,1,1,0,1,0,0,0,0,1,126.88229999912437
ordinary,temporary_outage,2,0,0,1,0,1,1,0,1,0,0,0,0,1,112.39970000315225
ordinary,normal,3,1,1,0,1,1,1,0,1,0,0,0,0,0,95.35239999968326
ecrc,normal,3,1,1,0,1,1,1,0,1,0,0,0,0,0,95.02659999998286
ordinary,crash_after_intent,3,0,0,1,0,1,1,0,1,0,0,0,0,1,122.6985000030254
ecrc,crash_after_intent,3,0,0,1,0,1,1,0,1,0,0,0,0,1,121.65929999900982
ordinary,crash_after_ack,3,1,0,1,0,1,1,0,1,0,0,0,0,1,116.96909999591298
ecrc,crash_after_ack,3,1,0,1,0,1,1,0,1,0,0,0,0,1,115.91179999959422
ordinary,drop_after_commit,3,1,0,1,0,1,1,0,1,0,0,0,0,0,113.86340000171913
ecrc,drop_after_commit,3,1,0,1,0,1,1,0,1,0,0,0,0,0,132.64170000184095
ordinary,crash_before_local_commit,3,1,0,1,0,1,1,0,1,0,0,0,0,1,119.22500000218861
ecrc,crash_before_local_commit,3,1,0,1,0,1,1,0,1,0,0,0,0,1,119.93649999931222
ordinary,crash_after_local_commit,3,1,1,0,1,1,1,0,1,0,0,0,0,1,98.4348999991198
ecrc,crash_after_local_commit,3,1,1,0,1,1,1,0,1,0,0,0,0,1,102.54090000671567
ordinary,concurrent_retries,3,1,1,0,1,1,1,0,1,0,0,0,0,0,98.94530000019586
ecrc,concurrent_retries,3,1,1,0,1,1,1,0,1,0,0,0,0,0,101.05109999858541
ordinary,sink_restart_after_lost_ack,3,1,0,1,0,1,1,0,1,0,0,0,0,1,117.31339999823831
ecrc,sink_restart_after_lost_ack,3,1,0,1,0,1,1,0,1,0,0,0,0,1,118.51500000193482
ordinary,temporary_outage,3,0,0,1,0,1,1,0,1,0,0,0,0,1,114.2790999947465
ecrc,temporary_outage,3,0,0,1,0,1,1,0,1,0,0,0,0,1,131.72620000113966
ecrc,normal,4,1,1,0,1,1,1,0,1,0,0,0,0,0,98.39579999970738
ordinary,normal,4,1,1,0,1,1,1,0,1,0,0,0,0,0,93.06540000397945
ecrc,crash_after_intent,4,0,0,1,0,1,1,0,1,0,0,0,0,1,125.04590000025928
ordinary,crash_after_intent,4,0,0,1,0,1,1,0,1,0,0,0,0,1,141.21979999617906
ecrc,crash_after_ack,4,1,0,1,0,1,1,0,1,0,0,0,0,1,125.36410000029719
ordinary,crash_after_ack,4,1,0,1,0,1,1,0,1,0,0,0,0,1,144.51710000139428
ecrc,drop_after_commit,4,1,0,1,0,1,1,0,1,0,0,0,0,0,128.1654999984312
ordinary,drop_after_commit,4,1,0,1,0,1,1,0,1,0,0,0,0,0,125.43820000428241
ecrc,crash_before_local_commit,4,1,0,1,0,1,1,0,1,0,0,0,0,1,123.30620000284398
ordinary,crash_before_local_commit,4,1,0,1,0,1,1,0,1,0,0,0,0,1,115.33649999910267
ecrc,crash_after_local_commit,4,1,1,0,1,1,1,0,1,0,0,0,0,1,105.8231999995769
ordinary,crash_after_local_commit,4,1,1,0,1,1,1,0,1,0,0,0,0,1,113.70500000339234
ecrc,concurrent_retries,4,1,1,0,1,1,1,0,1,0,0,0,0,0,110.02510000253096
ordinary,concurrent_retries,4,1,1,0,1,1,1,0,1,0,0,0,0,0,103.48109999904409
ecrc,sink_restart_after_lost_ack,4,1,0,1,0,1,1,0,1,0,0,0,0,1,125.73479999991832
ordinary,sink_restart_after_lost_ack,4,1,0,1,0,1,1,0,1,0,0,0,0,1,127.80010000278708
ecrc,temporary_outage,4,0,0,1,0,1,1,0,1,0,0,0,0,1,125.57850000303006
ordinary,temporary_outage,4,0,0,1,0,1,1,0,1,0,0,0,0,1,116.83900000207359
ordinary,normal,5,1,1,0,1,1,1,0,1,0,0,0,0,0,92.69420000055106
ecrc,normal,5,1,1,0,1,1,1,0,1,0,0,0,0,0,97.62649999902351
ordinary,crash_after_intent,5,0,0,1,0,1,1,0,1,0,0,0,0,1,116.16240000148537
ecrc,crash_after_intent,5,0,0,1,0,1,1,0,1,0,0,0,0,1,123.63180000102147
ordinary,crash_after_ack,5,1,0,1,0,1,1,0,1,0,0,0,0,1,118.40840000513708
ecrc,crash_after_ack,5,1,0,1,0,1,1,0,1,0,0,0,0,1,119.55859999579843
ordinary,drop_after_commit,5,1,0,1,0,1,1,0,1,0,0,0,0,0,115.763000001607
ecrc,drop_after_commit,5,1,0,1,0,1,1,0,1,0,0,0,0,0,122.3355999973137
