contrast,batch_id,arm,policy,condition,timely_tasks_difference,eventual_pass_tasks_difference,jobs_difference,child_cpu_seconds_difference,launcher_wall_seconds_difference
round_robin_minus_depth_first,evaluation_01,ordinary,paired,normal,1,1,0,0.0013430000000000004,-0.04999999998835847
round_robin_minus_depth_first,evaluation_01,ecrc,paired,normal,3,3,2,-0.0017360000000000014,-1.2140000000654254
round_robin_minus_depth_first,evaluation_01,ecrc,paired,response_loss,2,3,0,0.0005110000000000002,0.015999999915948138
round_robin_minus_depth_first,evaluation_01,ordinary,paired,response_loss,2,3,0,-0.00048700000000000045,-0.00299999988055788
round_robin_minus_depth_first,evaluation_02,ordinary,paired,response_loss,0,0,0,-0.002275,0.01800000009825453
round_robin_minus_depth_first,evaluation_02,ecrc,paired,response_loss,0,0,0,-0.0006940000000000002,0.061000000016065314
round_robin_minus_depth_first,evaluation_02,ecrc,paired,normal,0,0,0,0.0011800000000000005,0.005999999993946403
round_robin_minus_depth_first,evaluation_02,ordinary,paired,normal,0,0,0,-0.0029600000000000004,-0.07399999996414408
round_robin_minus_depth_first,evaluation_03,ordinary,paired,normal,0,0,0,-0.0004460000000000002,-0.11099999994621612
round_robin_minus_depth_first,evaluation_03,ecrc,paired,normal,0,0,0,0.0008960000000000001,0.05999999982304871
round_robin_minus_depth_first,evaluation_03,ecrc,paired,response_loss,0,0,0,-0.005451000000000001,0.004000000044470653
round_robin_minus_depth_first,evaluation_03,ordinary,paired,response_loss,0,0,0,0.002452,-0.0779999999795109
round_robin_minus_depth_first,evaluation_04,ordinary,paired,response_loss,2,1,0,-1.299999999999999e-05,0.0150000000721775
round_robin_minus_depth_first,evaluation_04,ecrc,paired,response_loss,2,1,0,-0.002222,0.0009999998728744686
round_robin_minus_depth_first,evaluation_04,ecrc,paired,normal,0,0,0,-0.003007,0.030999999871710315
round_robin_minus_depth_first,evaluation_04,ordinary,paired,normal,0,0,0,-0.0013179999999999997,0.11699999999837019
round_robin_minus_depth_first,evaluation_05,ordinary,paired,normal,0,0,0,-0.004385,-0.043000000005122274
round_robin_minus_depth_first,evaluation_05,ecrc,paired,normal,0,0,0,-0.002562,0.09199999980046414
round_robin_minus_depth_first,evaluation_05,ecrc,paired,response_loss,1,1,0,-0.0020529999999999984,-0.018999999971129
round_robin_minus_depth_first,evaluation_05,ordinary,paired,response_loss,1,1,0,0.0012889999999999998,-0.041000000113854185
round_robin_minus_depth_first,evaluation_06,ordinary,paired,response_loss,0,0,0,0.003148,-0.044000000052619725
round_robin_minus_depth_first,evaluation_06,ecrc,paired,response_loss,0,0,0,0.00164,-0.06800000011571683
round_robin_minus_depth_first,evaluation_06,ecrc,paired,normal,1,1,0,-0.0024159999999999997,0.015000000334111974
round_robin_minus_depth_first,evaluation_06,ordinary,paired,normal,1,1,0,0.005908999999999999,0.01799999998183921
round_robin_minus_depth_first,evaluation_07,ordinary,paired,normal,0,0,0,-0.0011460000000000012,0.07600000011734664
round_robin_minus_depth_first,evaluation_07,ecrc,paired,normal,0,0,0,0.0029490000000000002,-0.0010000000183936208
round_robin_minus_depth_first,evaluation_07,ecrc,paired,response_loss,1,0,0,-0.0009110000000000004,-0.05100000009406358
round_robin_minus_depth_first,evaluation_07,ordinary,paired,response_loss,1,0,0,0.0009880000000000002,0.003000000026077032
round_robin_minus_depth_first,evaluation_08,ordinary,paired,response_loss,2,2,0,0.0016880000000000003,0.09500000000116415
round_robin_minus_depth_first,evaluation_08,ecrc,paired,response_loss,2,2,0,-0.001103999999999999,0.05500000005122274
round_robin_minus_depth_first,evaluation_08,ecrc,paired,normal,1,1,0,0.00025400000000000075,-0.025999999983469024
round_robin_minus_depth_first,evaluation_08,ordinary,paired,normal,1,1,0,-0.0010869999999999986,0.10600000017439015
round_robin_minus_depth_first,evaluation_09,ordinary,paired,normal,1,1,0,0.0011280000000000005,-0.01600000014877878
round_robin_minus_depth_first,evaluation_09,ecrc,paired,normal,1,1,0,-0.00807,-0.06299999987822957
round_robin_minus_depth_first,evaluation_09,ecrc,paired,response_loss,1,0,0,-0.005688,-0.012999999948078766
round_robin_minus_depth_first,evaluation_09,ordinary,paired,response_loss,1,0,0,-0.0023560000000000005,-0.044999999983701855
round_robin_minus_depth_first,evaluation_10,ordinary,paired,response_loss,-1,0,0,0.027952000000000005,0.09599999993224628
round_robin_minus_depth_first,evaluation_10,ecrc,paired,response_loss,-1,0,0,-0.0023900000000000032,0.004000000073574483
round_robin_minus_depth_first,evaluation_10,ecrc,paired,normal,0,0,0,0.005074999999999996,0.03200000015203841
round_robin_minus_depth_first,evaluation_10,ordinary,paired,normal,0,0,0,-0.0005529999999999841,0.01799999998183921
round_robin_minus_depth_first,evaluation_11,ordinary,paired,normal,0,0,0,-0.003566999999999999,-0.01800000004004687
round_robin_minus_depth_first,evaluation_11,ecrc,paired,normal,0,0,0,0.0036119999999999998,0.030000000027939677
round_robin_minus_depth_first,evaluation_11,ecrc,paired,response_loss,0,0,0,-0.0022530000000000002,0.04800000000977889
round_robin_minus_depth_first,evaluation_11,ordinary,paired,response_loss,0,0,0,0.002946,-0.04700000007869676
round_robin_minus_depth_first,evaluation_12,ordinary,paired,response_loss,1,1,0,0.0015669999999999998,-0.029999999853316694
round_robin_minus_depth_first,evaluation_12,ecrc,paired,response_loss,1,1,0,-0.001922,-0.01899999988381751
round_robin_minus_depth_first,evaluation_12,ecrc,paired,normal,0,0,0,0.00043299999999999936,0.03599999999278225
round_robin_minus_depth_first,evaluation_12,ordinary,paired,normal,0,0,0,0.003794999999999999,-0.013999999937368557
round_robin_minus_depth_first,evaluation_13,ordinary,paired,normal,3,3,-1,0.0011539999999996553,-0.1989999999932479
round_robin_minus_depth_first,evaluation_13,ecrc,paired,normal,3,3,-1,-0.0036879999999999136,-0.15400000000954606
round_robin_minus_depth_first,evaluation_13,ecrc,paired,response_loss,0,0,-6,-0.0017380000000004614,-1.2659999999159481
round_robin_minus_depth_first,evaluation_13,ordinary,paired,response_loss,0,0,-6,-0.0011209999999999276,-1.187999999994645
round_robin_minus_depth_first,evaluation_14,ordinary,paired,response_loss,2,2,0,0.0025589999999999988,-0.03200000009383075
round_robin_minus_depth_first,evaluation_14,ecrc,paired,response_loss,2,2,0,-0.004538999999999999,0.01700000005075708
round_robin_minus_depth_first,evaluation_14,ecrc,paired,normal,0,0,0,0.006550999999999999,0.042999999976018444
round_robin_minus_depth_first,evaluation_14,ordinary,paired,normal,0,0,0,-0.0028620000000000017,-0.11099999974248931
round_robin_minus_depth_first,evaluation_15,ordinary,paired,normal,0,0,0,0.038734000000000046,0.029999999940628186
round_robin_minus_depth_first,evaluation_15,ecrc,paired,normal,0,0,0,-0.0032810000000000894,0.024999999877763912
round_robin_minus_depth_first,evaluation_15,ecrc,paired,response_loss,2,2,1,-0.02004600000000023,0.1419999998761341
round_robin_minus_depth_first,evaluation_15,ordinary,paired,response_loss,2,2,1,-0.0021330000000001625,0.16999999998370185
round_robin_minus_depth_first,evaluation_16,ordinary,paired,response_loss,1,2,0,0.00044899999999999975,0.046999999904073775
round_robin_minus_depth_first,evaluation_16,ecrc,paired,response_loss,1,2,0,0.004186999999999998,-0.021000000007916242
round_robin_minus_depth_first,evaluation_16,ecrc,paired,normal,0,0,0,-0.00028699999999999993,-0.1540000001550652
round_robin_minus_depth_first,evaluation_16,ordinary,paired,normal,0,0,0,0.0038979999999999996,-0.03200000000651926
round_robin_minus_depth_first,evaluation_17,ordinary,paired,normal,-1,-1,0,-0.0032400000000000007,-0.014999999955762178
round_robin_minus_depth_first,evaluation_17,ecrc,paired,normal,-1,-1,0,0.0018169999999999992,-0.177999999927124
round_robin_minus_depth_first,evaluation_17,ecrc,paired,response_loss,2,1,0,-0.0005479999999999999,0.03599999987636693
round_robin_minus_depth_first,evaluation_17,ordinary,paired,response_loss,2,1,0,-0.003417,-0.07699999999022111
round_robin_minus_depth_first,evaluation_18,ordinary,paired,response_loss,0,0,0,-0.0017459999999999993,2.9103830456733704e-11
round_robin_minus_depth_first,evaluation_18,ecrc,paired,response_loss,0,0,0,-0.0016749999999999994,0.030000000086147338
round_robin_minus_depth_first,evaluation_18,ecrc,paired,normal,0,0,0,-0.0007260000000000005,-0.046999999933177605
round_robin_minus_depth_first,evaluation_18,ordinary,paired,normal,0,0,0,0.002007,-0.03600000008009374
ecrc_minus_ordinary,evaluation_01,paired,depth_first,normal,-2,-2,-2,0.0015120000000000012,1.2770000000309665
ecrc_minus_ordinary,evaluation_01,paired,round_robin,normal,0,0,0,-0.0015670000000000007,0.11299999995389953
ecrc_minus_ordinary,evaluation_01,paired,depth_first,response_loss,0,0,0,0.0005629999999999993,-0.06399999986751936
ecrc_minus_ordinary,evaluation_01,paired,round_robin,response_loss,0,0,0,0.0015609999999999999,-0.045000000071013346
ecrc_minus_ordinary,evaluation_02,paired,round_robin,response_loss,0,0,0,0.0009900000000000004,-0.05100000003585592
ecrc_minus_ordinary,evaluation_02,paired,depth_first,response_loss,0,0,0,-0.0005909999999999995,-0.0939999999536667
ecrc_minus_ordinary,evaluation_02,paired,round_robin,normal,0,0,0,0.007417,-0.014999999955762178
ecrc_minus_ordinary,evaluation_02,paired,depth_first,normal,0,0,0,0.0032769999999999987,-0.09499999991385266
ecrc_minus_ordinary,evaluation_03,paired,depth_first,normal,0,0,0,0.00035099999999999975,-0.11199999993550591
ecrc_minus_ordinary,evaluation_03,paired,round_robin,normal,0,0,0,0.001693,0.05899999983375892
ecrc_minus_ordinary,evaluation_03,paired,depth_first,response_loss,0,0,0,0.003733,-0.06200000015087426
ecrc_minus_ordinary,evaluation_03,paired,round_robin,response_loss,0,0,0,-0.00417,0.0199999998731073
ecrc_minus_ordinary,evaluation_04,paired,round_robin,response_loss,0,0,0,-0.001143,-0.015000000043073669
ecrc_minus_ordinary,evaluation_04,paired,depth_first,response_loss,0,0,0,0.001066,-0.000999999843770638
ecrc_minus_ordinary,evaluation_04,paired,round_robin,normal,0,0,0,-0.0015240000000000002,-0.1100000002188608
ecrc_minus_ordinary,evaluation_04,paired,depth_first,normal,0,0,0,0.00016500000000000022,-0.024000000092200935
ecrc_minus_ordinary,evaluation_05,paired,depth_first,normal,0,0,0,-0.004128999999999999,-0.031999999802792445
ecrc_minus_ordinary,evaluation_05,paired,round_robin,normal,0,0,0,-0.002305999999999999,0.10300000000279397
ecrc_minus_ordinary,evaluation_05,paired,depth_first,response_loss,0,0,0,0.006112999999999999,0.031999999831896275
ecrc_minus_ordinary,evaluation_05,paired,round_robin,response_loss,0,0,0,0.002771,0.05399999997462146
ecrc_minus_ordinary,evaluation_06,paired,round_robin,response_loss,0,0,0,-0.0006420000000000002,0.028000000049360096
ecrc_minus_ordinary,evaluation_06,paired,depth_first,response_loss,0,0,0,0.000866,0.0520000001124572
ecrc_minus_ordinary,evaluation_06,paired,round_robin,normal,0,0,0,-0.005143999999999999,0.043000000092433766
ecrc_minus_ordinary,evaluation_06,paired,depth_first,normal,0,0,0,0.003181,0.045999999740161
ecrc_minus_ordinary,evaluation_07,paired,depth_first,normal,0,0,0,-0.003952000000000001,0.01400000011199154
ecrc_minus_ordinary,evaluation_07,paired,round_robin,normal,0,0,0,0.00014300000000000077,-0.06300000002374873
ecrc_minus_ordinary,evaluation_07,paired,depth_first,response_loss,0,0,0,0.0026950000000000003,0.04800000024260953
ecrc_minus_ordinary,evaluation_07,paired,round_robin,response_loss,0,0,0,0.0007959999999999998,-0.0059999998775310814
ecrc_minus_ordinary,evaluation_08,paired,round_robin,response_loss,0,0,0,0.003103,-0.01900000000023283
ecrc_minus_ordinary,evaluation_08,paired,depth_first,response_loss,0,0,0,0.005894999999999999,0.02099999994970858
ecrc_minus_ordinary,evaluation_08,paired,round_robin,normal,0,0,0,-0.001444,-0.0460000001185108
ecrc_minus_ordinary,evaluation_08,paired,depth_first,normal,0,0,0,-0.0027849999999999993,0.08600000003934838
ecrc_minus_ordinary,evaluation_09,paired,depth_first,normal,0,0,0,0.006791000000000002,0.0419999998412095
ecrc_minus_ordinary,evaluation_09,paired,round_robin,normal,0,0,0,-0.0024070000000000003,-0.004999999888241291
ecrc_minus_ordinary,evaluation_09,paired,depth_first,response_loss,0,0,0,0.003366,-0.061999999976251274
ecrc_minus_ordinary,evaluation_09,paired,round_robin,response_loss,0,0,0,3.4000000000000176e-05,-0.029999999940628186
ecrc_minus_ordinary,evaluation_10,paired,round_robin,response_loss,0,0,0,-0.025851000000000013,-0.027999999991152436
ecrc_minus_ordinary,evaluation_10,paired,depth_first,response_loss,0,0,0,0.004490999999999995,0.06399999986751936
ecrc_minus_ordinary,evaluation_10,paired,round_robin,normal,0,0,0,-0.0005660000000000109,-0.03399999989778735
ecrc_minus_ordinary,evaluation_10,paired,depth_first,normal,0,0,0,-0.006193999999999991,-0.04800000006798655
ecrc_minus_ordinary,evaluation_11,paired,depth_first,normal,0,0,0,-0.0037859999999999994,-0.002000000124098733
ecrc_minus_ordinary,evaluation_11,paired,round_robin,normal,0,0,0,0.0033929999999999993,0.045999999943887815
ecrc_minus_ordinary,evaluation_11,paired,depth_first,response_loss,0,0,0,0.0005790000000000005,-0.03200000012293458
ecrc_minus_ordinary,evaluation_11,paired,round_robin,response_loss,0,0,0,-0.004619999999999999,0.06299999996554106
ecrc_minus_ordinary,evaluation_12,paired,round_robin,response_loss,0,0,0,-0.0006500000000000004,0.0010000000766012818
ecrc_minus_ordinary,evaluation_12,paired,depth_first,response_loss,0,0,0,0.0028389999999999995,-0.009999999892897904
ecrc_minus_ordinary,evaluation_12,paired,round_robin,normal,0,0,0,-0.00029900000000000065,8.731149137020111e-11
ecrc_minus_ordinary,evaluation_12,paired,depth_first,normal,0,0,0,0.003062999999999999,-0.049999999842839316
ecrc_minus_ordinary,evaluation_13,paired,depth_first,normal,0,0,0,0.0027200000000000557,-0.0010000000474974513
ecrc_minus_ordinary,evaluation_13,paired,round_robin,normal,0,0,0,-0.002121999999999513,0.043999999936204404
ecrc_minus_ordinary,evaluation_13,paired,depth_first,response_loss,0,0,0,0.0017439999999999678,0.013999999908264726
ecrc_minus_ordinary,evaluation_13,paired,round_robin,response_loss,0,0,0,0.001126999999999434,-0.06400000001303852
ecrc_minus_ordinary,evaluation_14,paired,round_robin,response_loss,0,0,0,-0.005254999999999998,0.03300000022863969
ecrc_minus_ordinary,evaluation_14,paired,depth_first,response_loss,0,0,0,0.0018429999999999992,-0.015999999915948138
ecrc_minus_ordinary,evaluation_14,paired,round_robin,normal,0,0,0,-0.0008420000000000007,0.07400000002235174
ecrc_minus_ordinary,evaluation_14,paired,depth_first,normal,0,0,0,-0.010255,-0.07999999969615601
ecrc_minus_ordinary,evaluation_15,paired,depth_first,normal,0,0,0,-0.0040759999999999685,-0.11299999998300336
ecrc_minus_ordinary,evaluation_15,paired,round_robin,normal,0,0,0,-0.046091000000000104,-0.11800000004586764
ecrc_minus_ordinary,evaluation_15,paired,depth_first,response_loss,0,0,0,0.02508800000000022,0.05999999993946403
ecrc_minus_ordinary,evaluation_15,paired,round_robin,response_loss,0,0,0,0.0071750000000001535,0.031999999831896275
ecrc_minus_ordinary,evaluation_16,paired,round_robin,response_loss,0,0,0,0.0013689999999999987,-0.045999999943887815
ecrc_minus_ordinary,evaluation_16,paired,depth_first,response_loss,0,0,0,-0.0023689999999999996,0.021999999968102202
ecrc_minus_ordinary,evaluation_16,paired,round_robin,normal,0,0,0,-0.0017619999999999997,0.002999999764142558
ecrc_minus_ordinary,evaluation_16,paired,depth_first,normal,0,0,0,0.002423,0.12499999991268851
ecrc_minus_ordinary,evaluation_17,paired,depth_first,normal,0,0,0,-0.0039030000000000002,0.11499999996158294
ecrc_minus_ordinary,evaluation_17,paired,round_robin,normal,0,0,0,0.0011539999999999996,-0.04800000000977889
ecrc_minus_ordinary,evaluation_17,paired,depth_first,response_loss,0,0,0,-0.0014020000000000005,-0.04599999982747249
ecrc_minus_ordinary,evaluation_17,paired,round_robin,response_loss,0,0,0,0.0014669999999999996,0.06700000003911555
ecrc_minus_ordinary,evaluation_18,paired,round_robin,response_loss,0,0,0,-0.0010770000000000007,0.03200000006472692
ecrc_minus_ordinary,evaluation_18,paired,depth_first,response_loss,0,0,0,-0.0011480000000000006,0.0020000000076834112
ecrc_minus_ordinary,evaluation_18,paired,round_robin,normal,0,0,0,-0.0014490000000000002,0.013000000064494088
ecrc_minus_ordinary,evaluation_18,paired,depth_first,normal,0,0,0,0.0012840000000000004,0.023999999917577952
response_loss_minus_normal,evaluation_01,ordinary,depth_first,paired,-2,-2,-4,-0.004081999999999999,-0.8120000000635628
response_loss_minus_normal,evaluation_01,ecrc,depth_first,paired,0,0,-2,-0.005031000000000001,-2.1529999999620486
response_loss_minus_normal,evaluation_01,ecrc,round_robin,paired,-1,0,-4,-0.002783999999999999,-0.9229999999806751
response_loss_minus_normal,evaluation_01,ordinary,round_robin,paired,-1,0,-4,-0.005912,-0.7649999999557622
response_loss_minus_normal,evaluation_02,ordinary,round_robin,paired,-1,0,0,0.001980999999999999,0.059000000095693395
response_loss_minus_normal,evaluation_02,ecrc,round_robin,paired,-1,0,0,-0.004446,0.023000000015599653
response_loss_minus_normal,evaluation_02,ecrc,depth_first,paired,-1,0,0,-0.0025719999999999996,-0.03200000000651926
response_loss_minus_normal,evaluation_02,ordinary,depth_first,paired,-1,0,0,0.0012959999999999985,-0.03299999996670522
response_loss_minus_normal,evaluation_03,ordinary,depth_first,paired,0,0,0,-0.00042199999999999963,-0.06599999987520278
response_loss_minus_normal,evaluation_03,ecrc,depth_first,paired,0,0,0,0.002960000000000001,-0.01600000009057112
response_loss_minus_normal,evaluation_03,ecrc,round_robin,paired,0,0,0,-0.003387,-0.07199999986914918
response_loss_minus_normal,evaluation_03,ordinary,round_robin,paired,0,0,0,0.0024760000000000008,-0.03299999990849756
response_loss_minus_normal,evaluation_04,ordinary,round_robin,paired,0,0,-1,0.0012389999999999997,-0.26400000002468005
response_loss_minus_normal,evaluation_04,ecrc,round_robin,paired,0,0,-1,0.00162,-0.1689999998488929
response_loss_minus_normal,evaluation_04,ecrc,depth_first,paired,-2,-1,-1,0.0008349999999999998,-0.13899999985005707
response_loss_minus_normal,evaluation_04,ordinary,depth_first,paired,-2,-1,-1,-6.600000000000009e-05,-0.16200000009848736
response_loss_minus_normal,evaluation_05,ordinary,depth_first,paired,-2,-2,-4,-0.0076939999999999995,-0.8129999999073334
response_loss_minus_normal,evaluation_05,ecrc,depth_first,paired,-2,-2,-4,0.002547999999999998,-0.7490000002726447
response_loss_minus_normal,evaluation_05,ecrc,round_robin,paired,-1,-1,-4,0.003057,-0.8600000000442378
response_loss_minus_normal,evaluation_05,ordinary,round_robin,paired,-1,-1,-4,-0.0020199999999999992,-0.8110000000160653
response_loss_minus_normal,evaluation_06,ordinary,round_robin,paired,-2,-2,-4,-0.003996999999999999,-0.829000000085216
response_loss_minus_normal,evaluation_06,ecrc,round_robin,paired,-2,-2,-4,0.0005050000000000002,-0.8440000001282897
response_loss_minus_normal,evaluation_06,ecrc,depth_first,paired,-1,-1,-4,-0.0035509999999999995,-0.7609999996784609
response_loss_minus_normal,evaluation_06,ordinary,depth_first,paired,-1,-1,-4,-0.0012359999999999997,-0.7670000000507571
response_loss_minus_normal,evaluation_07,ordinary,depth_first,paired,-1,0,0,-0.004794000000000001,0.043999999965308234
response_loss_minus_normal,evaluation_07,ecrc,depth_first,paired,-1,0,0,0.0018529999999999996,0.07800000009592623
response_loss_minus_normal,evaluation_07,ecrc,round_robin,paired,0,0,0,-0.002007000000000001,0.028000000020256266
response_loss_minus_normal,evaluation_07,ordinary,round_robin,paired,0,0,0,-0.00266,-0.029000000125961378
response_loss_minus_normal,evaluation_08,ordinary,round_robin,paired,-1,-1,-4,-0.003541,-0.9230000000970904
response_loss_minus_normal,evaluation_08,ecrc,round_robin,paired,-1,-1,-4,0.001006,-0.8959999999788124
response_loss_minus_normal,evaluation_08,ecrc,depth_first,paired,-2,-2,-4,0.0023639999999999998,-0.9770000000135042
response_loss_minus_normal,evaluation_08,ordinary,depth_first,paired,-2,-2,-4,-0.006315999999999999,-0.9119999999238644
response_loss_minus_normal,evaluation_09,ordinary,depth_first,paired,-1,0,-4,0.0012850000000000006,-0.8140000000712462
response_loss_minus_normal,evaluation_09,ecrc,depth_first,paired,-1,0,-4,-0.0021400000000000013,-0.917999999888707
response_loss_minus_normal,evaluation_09,ecrc,round_robin,paired,-1,-1,-4,0.00024200000000000003,-0.8679999999585561
response_loss_minus_normal,evaluation_09,ordinary,round_robin,paired,-1,-1,-4,-0.0021990000000000004,-0.8429999999061693
response_loss_minus_normal,evaluation_10,ordinary,round_robin,paired,-1,0,-2,-0.010663999999999993,-0.42499999998835847
response_loss_minus_normal,evaluation_10,ecrc,round_robin,paired,-1,0,-2,-0.035948999999999995,-0.41900000008172356
response_loss_minus_normal,evaluation_10,ecrc,depth_first,paired,0,0,-2,-0.028483999999999995,-0.39100000000325963
response_loss_minus_normal,evaluation_10,ordinary,depth_first,paired,0,0,-2,-0.03916899999999998,-0.5029999999387655
response_loss_minus_normal,evaluation_11,ordinary,depth_first,paired,0,0,0,-0.0028769999999999993,0.029000000096857548
response_loss_minus_normal,evaluation_11,ecrc,depth_first,paired,0,0,0,0.0014880000000000006,-0.000999999901978299
response_loss_minus_normal,evaluation_11,ecrc,round_robin,paired,0,0,0,-0.004376999999999999,0.01700000007986091
response_loss_minus_normal,evaluation_11,ordinary,round_robin,paired,0,0,0,0.0036359999999999995,5.820766091346741e-11
response_loss_minus_normal,evaluation_12,ordinary,round_robin,paired,0,0,-4,-0.00241,-0.8459999999613501
