run_id,batch_id,arm,policy,condition,eligible_tasks,timely_tasks,durable_pass_tasks_by_deadline,eventual_pass_tasks,jobs,actual_starts,pass_jobs,fail_jobs,timeout_jobs,http_posts,response_drops,cache_hits,primary_retries,drain_retries,child_cpu_seconds,suite_wall_seconds,launcher_wall_seconds,observed_stop_elapsed_s,all_feedback_complete_elapsed_s,stop_held,stop_committed,final_held,final_committed,late_host_launches,denied_decisions,timely_task_ids,eventual_task_ids
r001,evaluation_01,ecrc,depth_first,normal,8,2,2,2,14,14,2,12,0,14,0,0,0,0,0.010104,0.036388808000000994,4.6370000000461005,5.1578713,5.1607244,0,14,0,14,0,0,HumanEval/23|HumanEval/91,HumanEval/23|HumanEval/91
r002,evaluation_01,ordinary,depth_first,normal,8,4,4,4,16,16,4,12,0,16,0,0,0,0,0.008591999999999999,0.03583126000000014,3.360000000015134,3.8522908,3.8563197,0,16,0,16,0,1,HumanEval/23|HumanEval/49|HumanEval/82|HumanEval/91,HumanEval/23|HumanEval/49|HumanEval/82|HumanEval/91
r003,evaluation_01,ordinary,round_robin,normal,8,5,5,5,16,16,5,11,0,16,0,0,0,0,0.009935,0.0377295869999994,3.3100000000267755,3.8989222,3.9029827,0,16,0,16,0,1,HumanEval/101|HumanEval/128|HumanEval/23|HumanEval/49|HumanEval/82,HumanEval/101|HumanEval/128|HumanEval/23|HumanEval/49|HumanEval/82
r004,evaluation_01,ecrc,round_robin,normal,8,5,5,5,16,16,5,11,0,16,0,0,0,0,0.008367999999999999,0.03736178800000367,3.422999999980675,3.9736616,3.9765587,0,16,0,16,0,1,HumanEval/101|HumanEval/128|HumanEval/23|HumanEval/49|HumanEval/82,HumanEval/101|HumanEval/128|HumanEval/23|HumanEval/49|HumanEval/82
r005,evaluation_01,ordinary,depth_first,response_loss,8,2,2,2,12,12,2,10,0,15,3,3,2,1,0.00451,0.027073081000001054,2.5479999999515712,4.9721844,5.9915333,1,11,0,12,0,0,HumanEval/23|HumanEval/91,HumanEval/23|HumanEval/91
r006,evaluation_01,ecrc,depth_first,response_loss,8,2,2,2,12,12,2,10,0,15,3,3,2,1,0.005072999999999999,0.028429393000003245,2.484000000084052,5.0121289,6.0406141,1,11,0,12,0,0,HumanEval/23|HumanEval/91,HumanEval/23|HumanEval/91
r007,evaluation_01,ecrc,round_robin,response_loss,8,4,4,5,12,12,5,7,0,15,3,3,2,1,0.0055839999999999996,0.027086752000005987,2.5,5.0232323,6.0463475,1,11,0,12,0,0,HumanEval/101|HumanEval/128|HumanEval/23|HumanEval/82,HumanEval/101|HumanEval/128|HumanEval/23|HumanEval/49|HumanEval/82
r008,evaluation_01,ordinary,round_robin,response_loss,8,4,5,5,12,12,5,7,0,15,3,3,2,1,0.004023,0.027065323000002195,2.5450000000710133,4.9882383,6.0063169,1,11,0,12,0,0,HumanEval/101|HumanEval/128|HumanEval/23|HumanEval/82,HumanEval/101|HumanEval/128|HumanEval/23|HumanEval/49|HumanEval/82
r009,evaluation_02,ordinary,round_robin,response_loss,8,7,8,8,12,12,8,4,0,15,3,3,2,1,0.005553999999999999,0.028544220999997094,2.5480000000970904,4.9749263,5.995919,1,11,0,12,0,0,HumanEval/108|HumanEval/13|HumanEval/141|HumanEval/18|HumanEval/67|HumanEval/85|HumanEval/97,HumanEval/108|HumanEval/13|HumanEval/141|HumanEval/18|HumanEval/67|HumanEval/78|HumanEval/85|HumanEval/97
r010,evaluation_02,ecrc,round_robin,response_loss,8,7,7,8,12,12,8,4,0,15,3,3,2,1,0.0065439999999999995,0.02730184700000393,2.4970000000612345,5.0120839,6.0382234,1,11,0,12,0,0,HumanEval/108|HumanEval/13|HumanEval/141|HumanEval/18|HumanEval/67|HumanEval/85|HumanEval/97,HumanEval/108|HumanEval/13|HumanEval/141|HumanEval/18|HumanEval/67|HumanEval/78|HumanEval/85|HumanEval/97
r011,evaluation_02,ecrc,depth_first,response_loss,8,7,8,8,12,12,8,4,0,15,3,3,2,1,0.007238,0.027116168999981483,2.436000000045169,4.9606897,5.984883,1,11,0,12,0,0,HumanEval/108|HumanEval/141|HumanEval/18|HumanEval/67|HumanEval/78|HumanEval/85|HumanEval/97,HumanEval/108|HumanEval/13|HumanEval/141|HumanEval/18|HumanEval/67|HumanEval/78|HumanEval/85|HumanEval/97
r012,evaluation_02,ordinary,depth_first,response_loss,8,7,8,8,12,12,8,4,0,15,3,3,2,1,0.007829,0.02753264099999342,2.529999999998836,5.001697,6.008936,1,11,0,12,0,0,HumanEval/108|HumanEval/141|HumanEval/18|HumanEval/67|HumanEval/78|HumanEval/85|HumanEval/97,HumanEval/108|HumanEval/13|HumanEval/141|HumanEval/18|HumanEval/67|HumanEval/78|HumanEval/85|HumanEval/97
r013,evaluation_02,ecrc,round_robin,normal,8,8,8,8,12,12,8,4,0,12,0,0,0,0,0.01099,0.02713370299997564,2.474000000045635,2.9706428,2.973295,0,12,0,12,0,0,HumanEval/108|HumanEval/13|HumanEval/141|HumanEval/18|HumanEval/67|HumanEval/78|HumanEval/85|HumanEval/97,HumanEval/108|HumanEval/13|HumanEval/141|HumanEval/18|HumanEval/67|HumanEval/78|HumanEval/85|HumanEval/97
