fault_family,expected_component,validator,n_cases,n_detected,sensitivity
claim_scope_substitution,trusted_permit_claim_binding,claim_binding_off,12,0,0.0
claim_scope_substitution,trusted_permit_claim_binding,full_binding_and_receipt,12,12,1.0
claim_scope_substitution,trusted_permit_claim_binding,ordinary_log,12,0,0.0
claim_scope_substitution,trusted_permit_claim_binding,receipt_state_verification_off,12,12,1.0
evidence_hash_substitution,trusted_permit_claim_binding,claim_binding_off,12,0,0.0
evidence_hash_substitution,trusted_permit_claim_binding,full_binding_and_receipt,12,12,1.0
evidence_hash_substitution,trusted_permit_claim_binding,ordinary_log,12,0,0.0
evidence_hash_substitution,trusted_permit_claim_binding,receipt_state_verification_off,12,12,1.0
missing_receipt,stateful_receipt_verification,claim_binding_off,12,12,1.0
missing_receipt,stateful_receipt_verification,full_binding_and_receipt,12,12,1.0
missing_receipt,stateful_receipt_verification,ordinary_log,12,0,0.0
missing_receipt,stateful_receipt_verification,receipt_state_verification_off,12,0,0.0
permit_replay,stateful_receipt_verification,claim_binding_off,12,12,1.0
permit_replay,stateful_receipt_verification,full_binding_and_receipt,12,12,1.0
permit_replay,stateful_receipt_verification,ordinary_log,12,0,0.0
permit_replay,stateful_receipt_verification,receipt_state_verification_off,12,0,0.0
previous_receipt_hash_tamper,stateful_receipt_verification,claim_binding_off,12,12,1.0
previous_receipt_hash_tamper,stateful_receipt_verification,full_binding_and_receipt,12,12,1.0
previous_receipt_hash_tamper,stateful_receipt_verification,ordinary_log,12,0,0.0
previous_receipt_hash_tamper,stateful_receipt_verification,receipt_state_verification_off,12,0,0.0
receipt_reorder,stateful_receipt_verification,claim_binding_off,12,12,1.0
receipt_reorder,stateful_receipt_verification,full_binding_and_receipt,12,12,1.0
receipt_reorder,stateful_receipt_verification,ordinary_log,12,0,0.0
receipt_reorder,stateful_receipt_verification,receipt_state_verification_off,12,0,0.0
side_effect_id_tamper,stateful_receipt_verification,claim_binding_off,12,12,1.0
side_effect_id_tamper,stateful_receipt_verification,full_binding_and_receipt,12,12,1.0
side_effect_id_tamper,stateful_receipt_verification,ordinary_log,12,0,0.0
side_effect_id_tamper,stateful_receipt_verification,receipt_state_verification_off,12,0,0.0
