evidence_scenario,dataset_id,evaluation_scope,model_name,component_arm,reference_arm,metric,delta_arm_minus_full,ci_low,ci_high,bootstrap_unit,bootstrap_method,bootstrap_replicates,bootstrap_seed
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,alert_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,human_review_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,abstain_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,no_action_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,event_coverage_by_alert,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,alert_precision,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,false_alerts_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,event_coverage_by_human_review,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,non_event_human_reviews_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,auto_capacity_blocks_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,review_capacity_overflow_abstentions_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,evidence_gate_off,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,alert_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,human_review_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,abstain_rate,-0.15756482525366405,-0.16625428230973738,-0.14882110753002697,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,no_action_rate,0.157564825253664,0.148821107530027,0.16625428230973738,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,event_coverage_by_alert,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,alert_precision,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,false_alerts_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,event_coverage_by_human_review,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,non_event_human_reviews_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,auto_capacity_blocks_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,review_capacity_overflow_abstentions_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,uncertainty_gate_off,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,alert_rate,-0.012476512589252163,-0.013797820515980247,-0.011302049586044036,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,human_review_rate,0.01416009019165727,0.01283796418397741,0.015597823859580863,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,abstain_rate,-0.01416009019165726,-0.015597823859580856,-0.012837964183977427,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,no_action_rate,0.012476512589252198,0.011302049586043954,0.01379782051598028,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,event_coverage_by_alert,-0.019500625864681473,-0.021905528195725374,-0.017351336779116013,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,alert_precision,0.011590418349562537,0.00511433713307434,0.01818030258311871,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,false_alerts_per_100,-0.357760240511086,-0.41432014103049647,-0.30690969378459615,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,event_coverage_by_human_review,0.019105342907964954,0.01716757764249454,0.021348548833458957,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,non_event_human_reviews_per_100,0.5441563322059377,0.47452348041640946,0.6160611959229298,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,auto_capacity_blocks_per_100,1.2476512589252167,1.1302049586044054,1.3797820515980224,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,review_capacity_overflow_abstentions_per_100,-1.4160090191657275,-1.5597823859580855,-1.283796418397741,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,shared_capacity,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,capacity_off,full_controls,alert_rate,0.18496805712138295,0.17051568225443453,0.20012203847898144,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,capacity_off,full_controls,human_review_rate,0.07509958662157083,0.07067884350270896,0.07962350415499304,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,capacity_off,full_controls,abstain_rate,-0.07509958662157085,-0.07962350415499302,-0.07067884350270896,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,capacity_off,full_controls,no_action_rate,-0.18496805712138292,-0.20012203847898144,-0.1705156822544345,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,capacity_off,full_controls,event_coverage_by_alert,0.32337439884050334,0.3008624297837473,0.34697710898558043,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,capacity_off,full_controls,alert_precision,0.021237688100785412,0.007551028271588811,0.034965842411190266,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,capacity_off,full_controls,false_alerts_per_100,3.739947388199925,3.492466405771162,4.007539212786923,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,capacity_off,full_controls,event_coverage_by_human_review,0.10043481125238818,0.09463030028117271,0.10632239534332066,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,capacity_off,full_controls,non_event_human_reviews_per_100,2.9267192784667415,2.715571535165304,3.144038687178912,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,capacity_off,full_controls,auto_capacity_blocks_per_100,-18.496805712138293,-20.012203847898142,-17.051568225443457,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,capacity_off,full_controls,review_capacity_overflow_abstentions_per_100,-7.509958662157084,-7.962350415499304,-7.067884350270898,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,capacity_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,hist_gradient_boosting,capacity_off,full_controls,direct_evidence_gate_blocks_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20260813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,alert_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,human_review_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,abstain_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,no_action_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,event_coverage_by_alert,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,alert_precision,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,false_alerts_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,event_coverage_by_human_review,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,non_event_human_reviews_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,auto_capacity_blocks_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,review_capacity_overflow_abstentions_per_100,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
clean,many_labs_igt,participant_grouped_outer_cv,history_baseline,evidence_gate_off,full_controls,invalid_evidence_action_acceptance_rate,0.0,0.0,0.0,participant,paired cluster percentile,2000,20270813
