model_name,outer_fold,n_training_participants,n_calibration_participants,n_calibration_decisions,prompt_threshold,n_decisions,n_positive,n_alert,n_human_review,n_abstain,n_no_action,n_action_routes,n_true_action_routes,n_false_action_routes,n_true_alerts,n_false_alerts,n_auto_capacity_blocks,n_review_capacity_overflow_abstentions,alert_rate,human_review_rate,abstain_rate,no_action_rate,action_route_rate,event_coverage_by_action,action_precision,false_actions_per_100,event_coverage_by_alert,alert_precision,false_alerts_per_100,auto_capacity_blocks_per_100,route_rate_sum,selection_constraints_satisfied,selection_source
history_baseline,0,493,493,53190,0.43,53190,24059,3317,719,20760,28394,4036,2430,1606,2100,1217,17503,4231,0.06236134611769129,0.013517578492197781,0.39029892836999436,0.5338221470201165,0.07587892460988907,0.10100170414397938,0.6020812685827552,3.0193645422071818,0.08728542333430317,0.6331022007838408,2.288024064673811,32.906561383718746,1.0,True,participant-grouped OOF predictions from training participants only; reference automated-alert cap=8
regularised_logistic,0,493,493,53190,0.61,53190,24059,3727,972,9640,38851,4699,3212,1487,2575,1152,10246,4001,0.07006956194773453,0.018274111675126905,0.18123707463808986,0.7304192517390486,0.08834367362286144,0.1335051332141818,0.6835496914237071,2.7956382778717805,0.10702855480277651,0.6909042125033539,2.1658206429780034,19.263019364542206,0.9999999999999999,True,participant-grouped OOF predictions from training participants only; reference automated-alert cap=8
hist_gradient_boosting,0,493,493,53190,0.6,53190,24059,3849,968,12270,36103,4817,3513,1304,2904,945,9840,3722,0.07236322617033276,0.018198909569467944,0.23068245910885504,0.6787554051513442,0.09056213573980071,0.1460160438920986,0.7292920905127673,2.4515886444820456,0.12070327112515067,0.7544816835541699,1.7766497461928934,18.49971799210378,1.0,True,participant-grouped OOF predictions from training participants only; reference automated-alert cap=8
history_baseline,1,493,493,53140,0.39,53140,24278,3718,607,19933,28882,4325,2604,1721,2316,1402,20622,3641,0.06996612721114039,0.011422657132103876,0.37510350018818217,0.5435077154685736,0.08138878434324426,0.1072575994727737,0.6020809248554914,3.2386149792999626,0.09539500782601532,0.6229155459924691,2.6383138878434322,38.80692510350019,1.0,True,participant-grouped OOF predictions from training participants only; reference automated-alert cap=8
regularised_logistic,1,493,493,53140,0.59,53140,24278,3806,978,9173,39183,4784,3200,1584,2612,1194,12272,3542,0.07162213022205495,0.01840421528039142,0.1726194956718103,0.7373541588257433,0.09002634550244637,0.13180657385287092,0.6688963210702341,2.9808054196462175,0.10758711590740588,0.6862848134524435,2.2468949943545353,23.09371471584494,1.0,True,participant-grouped OOF predictions from training participants only; reference automated-alert cap=8
hist_gradient_boosting,1,493,493,53140,0.59,53140,24278,3871,972,12489,35808,4843,3506,1337,2938,933,10649,3999,0.07284531426420775,0.018291305984192697,0.23502070003763642,0.6738426797139632,0.09113662024840045,0.1444105774775517,0.7239314474499278,2.515995483628152,0.12101491061866711,0.758977008524929,1.7557395558901017,20.039518253669552,1.0,True,participant-grouped OOF predictions from training participants only; reference automated-alert cap=8
history_baseline,2,494,494,53240,0.43,53240,24315,3360,713,19790,29377,4073,2476,1597,2141,1219,18636,3913,0.06311044327573254,0.013392186326070624,0.3717129977460556,0.5517843726521412,0.07650262960180315,0.10183014600041126,0.607905720599067,2.999624342599549,0.08805264240180959,0.6372023809523809,2.289631855747558,35.003756574004505,1.0,True,participant-grouped OOF predictions from training participants only; reference automated-alert cap=8
regularised_logistic,2,494,494,53240,0.59,53240,24315,3830,981,8977,39452,4811,3247,1564,2633,1197,12395,3557,0.07193839218632607,0.018425995492111196,0.1686138241923366,0.7410217881292261,0.09036438767843727,0.13353896771540202,0.6749116607773852,2.937640871525169,0.10828706559736788,0.687467362924282,2.2483095416979713,23.28136739293764,1.0,True,participant-grouped OOF predictions from training participants only; reference automated-alert cap=8
hist_gradient_boosting,2,494,494,53240,0.61,53240,24315,3804,977,12526,35933,4781,3512,1269,2917,887,9387,3803,0.07145003756574005,0.01835086401202104,0.23527422990232907,0.6749248685199098,0.08980090157776108,0.14443758996504216,0.7345743568291152,2.3835462058602555,0.11996709849886901,0.7668243953732913,1.6660405709992487,17.631480090157776,1.0,True,participant-grouped OOF predictions from training participants only; reference automated-alert cap=8
history_baseline,3,496,496,53490,0.43,53490,24764,3336,709,20439,29006,4045,2460,1585,2106,1230,18647,4030,0.06236679753224902,0.013254813983922229,0.38210880538418396,0.5422695830996448,0.07562161151617125,0.09933774834437085,0.6081582200247219,2.963170686109553,0.0850428040704248,0.6312949640287769,2.299495232753786,34.86072163021125,1.0,True,participant-grouped OOF predictions from training participants only; reference automated-alert cap=8
regularised_logistic,3,496,496,53490,0.59,53490,24764,3817,984,10329,38360,4801,3173,1628,2578,1239,12243,4071,0.07135913254813984,0.018395961862030286,0.19310151430173864,0.7171433912880912,0.08975509441017013,0.12812954288483283,0.6609039783378463,3.04355954383997,0.10410272976901955,0.675399528425465,2.316320807627594,22.888390353337073,1.0,True,participant-grouped OOF predictions from training participants only; reference automated-alert cap=8
