arm,workers,rep,n_timed_requests,elapsed_seconds,throughput_requests_per_second,median_latency_ms,p95_latency_ms,max_latency_ms,client_database_bytes,sink_database_bytes,effects_including_warmup,final_reserved
ordinary,1,1,64,1.1508834999985993,55.60945134766281,16.838200004713144,33.132999999361346,34.13719999662135,487424,36864,65,0
ecrc,1,1,64,1.415794200001983,45.20431006138488,18.63240000238875,33.56026500405278,36.00639999785926,503808,36864,65,0
ordinary,4,1,64,0.5668559999976424,112.90345343485151,32.5958499997796,76.44663499704613,115.7054000068456,491520,36864,65,0
ecrc,4,1,64,0.5487489999941317,116.62891413138686,24.441850000584964,87.2840849955537,108.66840000380762,503808,36864,65,0
ordinary,8,1,64,0.36592539999401197,174.89903680107284,23.743800000374904,138.02305500321376,363.85709999740357,495616,36864,65,0
ecrc,8,1,64,0.5995665000009467,106.74378905408983,29.1074499982642,230.95266499658453,448.36599999689497,503808,36864,65,0
ecrc,1,2,64,1.3299754000036046,48.121190812872584,21.301550001226133,33.3112849995814,35.64689999620896,503808,36864,65,0
ordinary,1,2,64,1.2192884999967646,52.489628172634966,18.54934999937541,32.89706999603368,36.04220000124769,487424,36864,65,0
ecrc,4,2,64,0.6474730000045383,98.84582059723171,33.63790000003064,99.662685002113,135.09840000187978,503808,36864,65,0
ordinary,4,2,64,0.6184978000019328,103.4765200455038,33.796600000641774,84.93775999813805,116.61989999993239,487424,36864,65,0
ecrc,8,2,64,0.5991641000000527,106.81547843069097,32.12139999959618,157.56579000517354,597.3502999986522,503808,36864,65,0
ordinary,8,2,64,0.5255938999980572,121.76701441975749,53.301449996070005,171.90712500087096,284.11549999873387,495616,36864,65,0
ordinary,1,3,64,1.102272099997208,58.06188871165487,16.597199995885603,33.168084999488194,35.47870000329567,487424,36864,65,0
ecrc,1,3,64,1.3009143000017502,49.196169186482074,19.867700004397193,33.61496500110661,35.52559999661753,503808,36864,65,0
ordinary,4,3,64,0.46799430000100983,136.75380234302406,26.54555000117398,66.84645999775965,83.71259999694303,487424,36864,65,0
ecrc,4,3,64,0.39021890000003623,164.0105079482159,18.849000000045635,58.58060500504507,65.75319999683416,503808,36864,65,0
ordinary,8,3,64,0.45337689999723807,141.16290441879568,24.93934999438352,203.5492799986965,361.7259999955422,491520,36864,65,0
ecrc,8,3,64,0.707946800001082,90.40227316502057,49.742900002456736,201.66420500245283,705.2592999971239,503808,36864,65,0
ecrc,1,4,64,1.360071600000083,47.05634615118505,17.312100004346576,33.867525005553034,34.71469999931287,503808,36864,65,0
ordinary,1,4,64,1.3168364000011934,48.60132967158411,17.444050001358846,33.57723499793792,40.253900006064214,487424,36864,65,0
ecrc,4,4,64,0.47872949999873526,133.68718660573262,24.43919999859645,60.52283499921029,120.55740000505466,503808,36864,65,0
ordinary,4,4,64,0.5127116000003298,124.82651065425247,25.5819500052894,76.9769800037465,88.30949999537552,487424,36864,65,0
ecrc,8,4,64,0.6343404999934137,100.892186452961,17.872100001113722,203.97445499693248,631.3014999977895,503808,36864,65,0
ordinary,8,4,64,0.27619830000185175,231.71757392992976,11.477099997136975,104.43666499959362,173.50810000061756,495616,36864,65,0
ordinary,1,5,64,1.007119000001694,63.54760460272554,10.84054999955697,32.70471499708946,34.89589999662712,487424,36864,65,0
ecrc,1,5,64,1.317475399999239,48.57775712551215,19.926150001992937,33.17446499931975,37.193599993770476,503808,36864,65,0
ordinary,4,5,64,0.5498783000002732,116.38939016136517,30.926899999030866,83.51369999618323,109.88949999591568,491520,36864,65,0
ecrc,4,5,64,0.6827874000009615,93.73342273145327,45.666499998333165,86.73827999955392,116.67939999460941,503808,36864,65,0
ordinary,8,5,64,0.5170342000055825,123.78291416565669,43.05275000297115,165.9661249977944,361.74420000315877,495616,36864,65,0
ecrc,8,5,64,0.6676729999962845,95.85530641550002,33.300600000075065,206.5928849984628,665.9619999991264,503808,36864,65,0
