panel,dataset_id,cohort,model_name,capacity_basis,estimand,estimate,ci_low,ci_high,units,n_participants,finite_replicates,source,quantity,n_common_valid,n_reference_only,n_comparison_only
alert_precision,many_labs_igt,Development,hist_gradient_boosting,eight_per_episode,pooled,-0.027723017772852798,-0.04391603152100978,-0.011077267157065515,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__alert_precision,,,
alert_precision,many_labs_igt,Development,hist_gradient_boosting,eight_per_episode,participant_equal_common_valid,-0.035367225065922145,-0.05320691018324873,-0.018083216827935903,proportion difference,617,2000,participant_equal.csv,common_macro_difference,614,0,0
alert_precision,many_labs_igt,Development,hist_gradient_boosting,eight_per_100_planned,pooled,-0.026591645773244355,-0.042150586146816084,-0.010248354805028875,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__alert_precision,,,
alert_precision,many_labs_igt,Development,hist_gradient_boosting,eight_per_100_planned,participant_equal_common_valid,-0.03252505276120911,-0.04990650309535867,-0.01631501438301113,proportion difference,617,2000,participant_equal.csv,common_macro_difference,614,0,0
alert_precision,many_labs_igt,Development,regularised_logistic,eight_per_episode,pooled,-0.03072987907155733,-0.04946732505152801,-0.011851954242627251,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__alert_precision,,,
alert_precision,many_labs_igt,Development,regularised_logistic,eight_per_episode,participant_equal_common_valid,-0.024616791160908813,-0.042868327402978065,-0.006274495248368078,proportion difference,617,2000,participant_equal.csv,common_macro_difference,612,0,0
alert_precision,many_labs_igt,Development,regularised_logistic,eight_per_100_planned,pooled,-0.03537361749254209,-0.05378240451769524,-0.016819551138690977,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__alert_precision,,,
alert_precision,many_labs_igt,Development,regularised_logistic,eight_per_100_planned,participant_equal_common_valid,-0.02818857340916165,-0.045744408311428564,-0.010351588492260446,proportion difference,617,2000,participant_equal.csv,common_macro_difference,612,0,0
alert_precision,many_labs_igt,Development,history_baseline,eight_per_episode,pooled,-0.042626268435121184,-0.0641127382917565,-0.01991616079178133,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__alert_precision,,,
alert_precision,many_labs_igt,Development,history_baseline,eight_per_episode,participant_equal_common_valid,-0.041538525132275135,-0.06601974745141023,-0.01689429364191691,proportion difference,617,2000,participant_equal.csv,common_macro_difference,576,0,0
alert_precision,many_labs_igt,Development,history_baseline,eight_per_100_planned,pooled,-0.04302149174422021,-0.06450558705741355,-0.020826165578051867,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__alert_precision,,,
alert_precision,many_labs_igt,Development,history_baseline,eight_per_100_planned,participant_equal_common_valid,-0.04138082210998879,-0.06519738035674183,-0.017544435791171674,proportion difference,617,2000,participant_equal.csv,common_macro_difference,576,0,0
alert_precision,mendeley_igt_official_v2,External,hist_gradient_boosting,eight_per_episode,pooled,0.04229476310281399,-0.010060664084466686,0.09895909538763914,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__alert_precision,,,
alert_precision,mendeley_igt_official_v2,External,hist_gradient_boosting,eight_per_episode,participant_equal_common_valid,0.02181194511702986,-0.03266848264729621,0.07920500403551246,proportion difference,59,2000,participant_equal.csv,common_macro_difference,59,0,0
alert_precision,mendeley_igt_official_v2,External,hist_gradient_boosting,eight_per_100_planned,pooled,0.036617040523757693,-0.0038062377514943542,0.07779754261311062,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__alert_precision,,,
alert_precision,mendeley_igt_official_v2,External,hist_gradient_boosting,eight_per_100_planned,participant_equal_common_valid,0.009689510113238929,-0.03239968952892682,0.052895755374568934,proportion difference,59,2000,participant_equal.csv,common_macro_difference,59,0,0
alert_precision,mendeley_igt_official_v2,External,regularised_logistic,eight_per_episode,pooled,0.10100432900432899,0.04112250072964497,0.15814623433405398,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__alert_precision,,,
alert_precision,mendeley_igt_official_v2,External,regularised_logistic,eight_per_episode,participant_equal_common_valid,0.08905993431855502,0.024058394909688013,0.153553321863982,proportion difference,59,2000,participant_equal.csv,common_macro_difference,58,0,0
alert_precision,mendeley_igt_official_v2,External,regularised_logistic,eight_per_100_planned,pooled,0.05935364934636245,0.01207292949116101,0.10471659153720175,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__alert_precision,,,
alert_precision,mendeley_igt_official_v2,External,regularised_logistic,eight_per_100_planned,participant_equal_common_valid,0.04112149823356719,-0.0018773256711172878,0.08714417925866168,proportion difference,59,2000,participant_equal.csv,common_macro_difference,58,0,0
alert_precision,mendeley_igt_official_v2,External,history_baseline,eight_per_episode,pooled,0.12671322894371218,0.05555093086940693,0.1947914267412316,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__alert_precision,,,
alert_precision,mendeley_igt_official_v2,External,history_baseline,eight_per_episode,participant_equal_common_valid,0.06073633156966491,-0.024346166341780374,0.14727079199735446,proportion difference,59,2000,participant_equal.csv,common_macro_difference,54,0,0
alert_precision,mendeley_igt_official_v2,External,history_baseline,eight_per_100_planned,pooled,0.08618881118881117,0.02969736202288834,0.14063246340026928,proportion difference,59,2000,online_intervals.csv,delta_paced_minus_fifo__alert_precision,,,
alert_precision,mendeley_igt_official_v2,External,history_baseline,eight_per_100_planned,participant_equal_common_valid,0.03570966070966071,-0.030108490712333662,0.1066059808247308,proportion difference,59,2000,participant_equal.csv,common_macro_difference,54,0,0
alert_coverage,many_labs_igt,Development,hist_gradient_boosting,eight_per_episode,pooled,-0.027340404506225713,-0.031207134056616074,-0.023585766103266136,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__alert_coverage,,,
alert_coverage,many_labs_igt,Development,hist_gradient_boosting,eight_per_episode,participant_equal_common_valid,-0.04568563720722213,-0.051729880295076885,-0.03976313873706675,proportion difference,617,2000,participant_equal.csv,common_macro_difference,615,0,0
alert_coverage,many_labs_igt,Development,hist_gradient_boosting,eight_per_100_planned,pooled,-0.029217998550629162,-0.03336161312324318,-0.02530555507747334,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__alert_coverage,,,
alert_coverage,many_labs_igt,Development,hist_gradient_boosting,eight_per_100_planned,participant_equal_common_valid,-0.04784304530052145,-0.05410134299197588,-0.041767173374999106,proportion difference,617,2000,participant_equal.csv,common_macro_difference,615,0,0
alert_coverage,many_labs_igt,Development,regularised_logistic,eight_per_episode,pooled,-0.028526253376375266,-0.0328321174048465,-0.02470878720721826,proportion difference,617,2000,online_intervals.csv,delta_paced_minus_fifo__alert_coverage,,,
alert_coverage,many_labs_igt,Development,regularised_logistic,eight_per_episode,participant_equal_common_valid,-0.04714157192333696,-0.05351535771407947,-0.041211359794114166,proportion difference,617,2000,participant_equal.csv,common_macro_difference,615,0,0
